Time	Ampl		
-0.025672136	2.04		
-0.025671136	2		
-0.025670136	2.08		
-0.025669136	1.96		
-0.025668136	2.04		
-0.025667136	2		
-0.025666136	1.98		
-0.025665136	1.98		
-0.025664136	2.02		
-0.025663136	2.02		
-0.025662136	2.02		
-0.025661136	2.04		
-0.025660136	2.02		
-0.025659136	2.04		
-0.025658136	2		
-0.025657136	2		
-0.025656136	2.02		
-0.025655136	2		
-0.025654136	2		
-0.025653136	2.02		
-0.025652136	2.02		
-0.025651136	2.08		
-0.025650136	1.98		
-0.025649136	1.98		
-0.025648136	2		
-0.025647136	1.94		
-0.025646136	2.08		
-0.025645136	2.02		
-0.025644136	2		
-0.025643136	2		
-0.025642136	2.04		
-0.025641136	2		
-0.025640136	2.06		
-0.025639136	2.08		
-0.025638136	2.04		
-0.025637136	1.94		
-0.025636136	2.02		
-0.025635136	2.06		
-0.025634136	2		
-0.025633136	1.96		
-0.025632136	2.02		
-0.025631136	2		
-0.025630136	2.04		
-0.025629136	2.02		
-0.025628136	2.02		
-0.025627136	2.02		
-0.025626136	1.98		
-0.025625136	1.98		
-0.025624136	2.04		
-0.025623136	2.08		
-0.025622136	2.02		
-0.025621136	2.04		
-0.025620136	2		
-0.025619136	1.98		
-0.025618136	2.02		
-0.025617136	2.06		
-0.025616136	2		
-0.025615136	2.06		
-0.025614136	2.06		
-0.025613136	2		
-0.025612136	2.04		
-0.025611136	1.94		
-0.025610136	2		
-0.025609136	1.98		
-0.025608136	1.96		
-0.025607136	2.06		
-0.025606136	2.04		
-0.025605136	2.02		
-0.025604136	1.98		
-0.025603136	2.02		
-0.025602136	1.98		
-0.025601136	1.98		
-0.025600136	2		
-0.025599136	1.98		
-0.025598136	2.04		
-0.025597136	2.04		
-0.025596136	1.92		
-0.025595136	1.98		
-0.025594136	2		
-0.025593136	2.02		
-0.025592136	2.02		
-0.025591136	2		
